YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2001,7,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,91531
2001,7,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,165858
2001,7,CA,"Electric Generators, Independent Power Producers",Geothermal,1048509
2001,7,CA,"Electric Generators, Independent Power Producers",Other Biomass,137556
2001,7,CA,"Electric Generators, Independent Power Producers",Other,16036
2001,7,CA,"Electric Generators, Independent Power Producers",Total,8822079
2001,7,CA,"Combined Heat and Power, Electric Power",Coal,179737
2001,7,CA,"Combined Heat and Power, Electric Power",Petroleum,70242
2001,7,CA,"Combined Heat and Power, Electric Power",Natural Gas,1707076
2001,7,CA,"Combined Heat and Power, Electric Power",Other Gases,133
2001,7,CA,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,18681
2001,7,CA,"Combined Heat and Power, Electric Power",Other Biomass,7642
2001,7,CA,"Combined Heat and Power, Electric Power",Other,71
2001,7,CA,"Combined Heat and Power, Electric Power",Total,1983582
2001,7,CA,"Combined Heat and Power, Commercial Power",Petroleum,71
2001,7,CA,"Combined Heat and Power, Commercial Power",Natural Gas,148911
2001,7,CA,"Combined Heat and Power, Commercial Power",Other Gases,0
2001,7,CA,"Combined Heat and Power, Commercial Power",Other Biomass,20597
2001,7,CA,"Combined Heat and Power, Commercial Power",Total,169579
2001,7,CA,"Combined Heat and Power, Industrial Power",Coal,43919
2001,7,CA,"Combined Heat and Power, Industrial Power",Petroleum,54646
2001,7,CA,"Combined Heat and Power, Industrial Power",Natural Gas,1207536
2001,7,CA,"Combined Heat and Power, Industrial Power",Other Gases,107135
2001,7,CA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,113015
2001,7,CA,"Combined Heat and Power, Industrial Power",Other Biomass,2321
2001,7,CA,"Combined Heat and Power, Industrial Power",Other,1572
2001,7,CA,"Combined Heat and Power, Industrial Power",Total,1530144
2001,8,CA,Total Electric Power Industry,Coal,226382
2001,8,CA,Total Electric Power Industry,Petroleum,187286
2001,8,CA,Total Electric Power Industry,Natural Gas,11506271
2001,8,CA,Total Electric Power Industry,Other Gases,102434
2001,8,CA,Total Electric Power Industry,Nuclear,3280143
2001,8,CA,Total Electric Power Industry,Hydroelectric Conventional,2809357
2001,8,CA,Total Electric Power Industry,Wind,408487
2001,8,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,85228
2001,8,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,319438
2001,8,CA,Total Electric Power Industry,Geothermal,1037345
2001,8,CA,Total Electric Power Industry,Other Biomass,190150
2001,8,CA,Total Electric Power Industry,Pumped Storage,135796
2001,8,CA,Total Electric Power Industry,Other,19126
2001,8,CA,Total Electric Power Industry,Total,20307443
2001,8,CA,"Electric Generators, Electric Utilities",Petroleum,5037
2001,8,CA,"Electric Generators, Electric Utilities",Natural Gas,1196199
2001,8,CA,"Electric Generators, Electric Utilities",Nuclear,3280143
2001,8,CA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,2748983
2001,8,CA,"Electric Generators, Electric Utilities",Wind,1155
