status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
for_sale,5450000,4,4,,"16 Exeter St Unit 1, Boston, MA, 02116",16 Exeter St Unit 1,Boston,Massachusetts,2116,3882,10/12/21
for_sale,369900,1,1,,"125 Trapelo Rd Apt 20, Belmont, MA, 02478",125 Trapelo Rd Apt 20,Belmont,Massachusetts,2478,527,5/4/10
for_sale,449000,2,1,,"47 Mystic St Apt 1E, Arlington, MA, 02474",47 Mystic St Apt 1E,Arlington,Massachusetts,2474,959,6/5/20
for_sale,799900,1,1,,"135 Willow Ave Apt 4, Somerville, MA, 02144",135 Willow Ave Apt 4,Somerville,Massachusetts,2144,925,6/26/14
for_sale,1649000,4,3,,"123 Saint Paul St Apt 2, Brookline, MA, 02446",123 Saint Paul St Apt 2,Brookline,Massachusetts,2446,2320,7/13/11
for_sale,230000,2,1,,"96 Richardson Rd Unit A8, Chelmsford, MA, 01863",96 Richardson Rd Unit A8,Chelmsford,Massachusetts,1863,684,3/29/19
for_sale,359999,3,2,,"88 Farrwood Ave Apt 7, North Andover, MA, 01845",88 Farrwood Ave Apt 7,North Andover,Massachusetts,1845,1300,5/12/21
for_sale,595000,2,1,,"40 Clifton St Apt 21, Cambridge, MA, 02140",40 Clifton St Apt 21,Cambridge,Massachusetts,2140,709,8/3/18
for_sale,790000,1,1,,"9 Medford St Ph 7, Somerville, MA, 02143",9 Medford St Ph 7,Somerville,Massachusetts,2143,751,3/15/19
for_sale,859900,1,1,,"127 Beacon St Unit 51, Boston, MA, 02116",127 Beacon St Unit 51,Boston,Massachusetts,2116,649,11/9/18
for_sale,1550000,4,3,0.09,"46 Ackers Ave Unit 1, Brookline, MA, 02445",46 Ackers Ave Unit 1,Brookline,Massachusetts,2445,1942,6/25/20
for_sale,595000,2,1,4.04,"130 Boylston St Apt 2, Newton, MA, 02467",130 Boylston St Apt 2,Newton,Massachusetts,2467,959,8/12/19
for_sale,1549800,5,4,1.15,"63 Hildreth St, Westford, MA, 01886",63 Hildreth St,Westford,Massachusetts,1886,4000,9/23/21
for_sale,789900,2,1,,"453 Washington St Apt 5, Brookline, MA, 02446",453 Washington St Apt 5,Brookline,Massachusetts,2446,904,11/2/21
for_sale,2250000,3,3,,"178 Harvard St Unit 178, Cambridge, MA, 02139",178 Harvard St Unit 178,Cambridge,Massachusetts,2139,2341,1/27/20
for_sale,1365000,4,4,0.46,"42 Birch Dr, Concord, MA, 01742",42 Birch Dr,Concord,Massachusetts,1742,2831,11/15/19
for_sale,3550000,6,8,0.07,"24 Bartlett Cres, Brookline, MA, 02446",24 Bartlett Cres,Brookline,Massachusetts,2446,4514,11/1/19
